path,tracked,status_code,exists_on_disk,size_bytes,sha256,source_table,generated_by,reporting_task,maintenance_context
management/pm/reports/data-dictionary.json,1,M,1,19535,1e0d5e73f7aac28dbd9b598b715bf90529ab47c0f2b8b73017fd4423a120a2a6,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/decision-priority-queue.json,1,,1,4629,62332a2ca6d4dea0a4451e190ce2ffa89e170ecc4bc21549a37542c2796780c4,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/documentation-manifest.json,1,,1,17291,1c9a68389d889efdac6a2bec3422f461e8eedbfc6445fa72dd01e153672cfe22,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/environment-dashboard.json,1,,1,373,bc35a5035e759b63f26425e335d98bb06105cc90390c6efd03674d1ae267bd86,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/environment-health.json,1,M,1,1164,6571abee37dc879d1cc85242198559b6bdb3ff36b3a2309db236151d0165b22a,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/governance-alerts.json,1,M,1,5823,b8aef5fac41a3be892993ae106f6125be8144b36e3bb1744aef672cfa971ac66,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/hardcoded-critical-path-gate.json,1,,1,277,c9e30d430eef1016cc5ed5b70f68709dcb4ddb799c8916e895afa277271d7f69,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/identifier-registry.json,1,M,1,99833,d56e9f7d8de4d0bcc803e13e6701c5ebffe35977dcd6ff916b26ef723b370652,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/issues-effectiveness.json,1,,1,4392,f88f9cad131e0435cc654b7c213c22dec3051f90bace3451c53ac3045dab8f8e,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/issues-log-tickle.json,1,M,1,2037,440917a2e18a82ad66ffd12588d02c9268c985a3dcfd050a001bddf5e095b558,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/knowledge-base.json,1,,1,15373,2c4ea94728225baf12f63971357e3cf3d81cb3e84114179cced686aa07e6d7fe,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/managed-tool-inventory.json,1,,1,545,8c91e5b59e71fc646c565fd6fc27355e143a5775bbb5beb6a6120ae127e1dccf,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/pm-console-stale-cleanup.json,1,,1,450,bb7b3ff9ed5fe78bbbeefd34beb8bf7180265f06e66d4afd3e11f4b17dada631,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/pm-realm-policy.json,1,,1,25679,3b93664bc56bd582fff3bbe7317348cbe46f4ed693b864fb5d60f0f9786a4dfd,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/policy-rules-lint.json,1,,1,487,37da1419fa3db98c068089541d0decbd8f68ca261fc5baf9fe27007f74ee94cb,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/policy-rules.json,1,,1,32189,cf348a8da513c0cd7131a84bd974d50c3497dca76b56a673244d1d4ff5622f50,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/presentation-ref-lint.json,1,,1,453,726da66a231642f261e1576fd00bbbb3048a0e1717510a6be26d4199a99a6bfb,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/project-plan-commit-marker-lint.json,1,,1,427,efd163b7fc138807d1a9c8886d41a8958cfae77ead16d51471a51c02aef10275,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/project-plan-next-step.json,1,,1,5879,5a5b158ba48dcaf45c2aad2bf960a6955c1cbca41a7ded12fe274eafd8ec4878,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/project-plan-progress-application.json,1,,1,11424,03ed46b05bd5adfa9807df60f7eccdd8f069c7993ef78d6d317162b51d786b10,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/project-plan-progress-boilerplate.json,1,,1,11684,3a9d49682d766b70eec3d1a07a80df9b7d6576d0d3e2fe60ea78af1bd66ce77d,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/project-plan-progress-data.json,1,,1,22615,193ae905f8aab422eb165e894c04733072d434f62e8f78296260a0d8f491725f,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/project-plan-progress-pm.json,1,,1,11706,77dbc66ee6ee3d4a32f574c716063e8c1b0ecf8dec5d814f90b9b808324f4724,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/realm-artifacts/application/latest/index.json,1,,1,2527,9db4fca22baf0aab92150160b9de820bd5e33fd3a858b37bad46e009350edcc8,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/realm-artifacts/boilerplate/latest/index.json,1,,1,2719,4e7dc11cad9867db9982599aad429ef017b43281e4644d0f9e07221aadc5393c,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/realm-artifacts/index.json,1,,1,621,262917a5423fef67bfa20ad34283eebfcc223ddfa0c754a927e7dcaeda0d9a4e,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/realm-artifacts/pm/latest/index.json,1,,1,10674,b2ce4c71528de3c09c9ff44c5ba432013c7bcf6bbb5130bf0c7612eaa42fefcb,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/realm-knowledge-link-gate.json,1,,1,848,dd821a5efee5021f43b55b5891b362b19cc880960582cf3753435a56f3df6437,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/realm-knowledge-sync.json,1,,1,1124,1562216fd29a323c715c50c86868d49451b1ff18a6eeb11705a69a0be26f80b2,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/realm-policy-diff.json,1,,1,671,2c7147ff0641348d538b00eac7b34e72dcc0b15e55a4eb1f683c38be5881a700,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/realm-policy-sync.json,1,,1,500,4aa20512d9207e9644c109d0101958a355aa5bc8057d7a390b64bdc893fe4f9a,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/reasoning-drive.json,1,,1,3520,708f2bd49fb70b44ee65e413bb83d99e9ccd9648e2f463544fba32e811c9e824,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/repo-file-inventory-with-context.csv,1,,1,139054,4b497fedd4b5cd6c11b43f400dc9abc30ca80f0d66d1f5b8e89749870ac60be7,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/slice-manifests/slice-management-paths.txt,1,,1,4393,0477a46c2e9172c103b9177014f8fa2e0ca6c62c33b36963928283e254e5323b,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/slice-manifests/slice-policy-paths.txt,1,,1,13,2f84cc3e29ad45b8f6761255c3f955b7c662e7d5729ab751d3ed079aa62a2e2e,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/slice-manifests/slice-product-paths.txt,1,,1,5933,da5daa247afcbb83fe69533a773530d8d71573dd0d64a5acbde94ecc51a9a80a,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/sql-authority-application.json,1,M,1,227,d00bada51e461ca971c917c16074cc019cc7d9c7915c93baf2422009294c0f7a,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/sql-authority-boilerplate.json,1,M,1,228,9a8877b99838813ad3e69dc43938270df0426e5aa5ed942248a7bab0a958ff90,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/sql-authority-pm.json,1,M,1,218,fea150f1b9d8cb732d9f402fa1aae397f0795eb190b854c652e687f03e3535ef,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/sql-coverage-application.json,1,,1,330,2f6ee4e9a1d8ee561540959d27aa276f50166953e20ad47b3649594877ef96a3,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
management/pm/reports/sql-coverage-boilerplate.json,1,,1,332,b0762e98094cf30bcf3f9cb766c23c4eb519bf985598d2d1f89d96327f63c148,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
