path,tracked,status_code,exists_on_disk,size_bytes,sha256,source_table,generated_by,reporting_task,maintenance_context
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpLayoutInterpreter.java,1,,1,5486,43f3f7dafc50540754de180b2ec4769cc30db60ba4a92f48e4023bb605e0bf1d,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpNativePdfRenderer.java,1,M,1,150962,6a49245d962f2f5d38ca23dd2af00f3ef5f7a5390a72b1721f8bf5b543f1f310,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpOptionRow.java,1,,1,113,aaaa75fbcdc5ce25d0e4b4ec1b9f3618aea3b32f6a285bda187037642cdb38f3,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpParseResult.java,1,,1,277,b083e4860e50a2a8a226fe123ca501eeda916437d6bd2eb7cf124b624d06dffa,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpPrintCentricTraceEngine.java,1,,1,16213,c97a5cccf7702bb5e6e0140f33a86a8e9ebce5de53c241f367e47982195f7133,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpSemantics.java,1,,1,970,b3edaaa3665ccf256a0007b5d7a217c83f150b1b55b3ab3be1268bd7e849dcac,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpStructuredField.java,1,,1,594,885e52805e383655a0ca2d6dfbef3c5f1a3c7a49f25f3f2c7f65b934832e3e7e,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpStructuredFieldParser.java,1,,1,2610,7833388c791c24606528b9fecaa8765bea58c00d4c20e563bd4c314ef20fdc6c,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfpTextDecoders.java,1,,1,10911,da9d965375cbe019cd34ddd8419f932763ef0f262f185a27bf8eb09b9d473063,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/AfplibSemanticPass.java,1,,1,6710,572ee5bd8014017b137d05c8c82df7f807c05b60f4f6965c66f5c3890e726ef5,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
afp-engine/src/main/java/com/upland/connect/afp/engine/CliAfpEngineAdapter.java,1,,1,4500,2c49c5420ca03f0b974de133c730381e211cfc529f9abef2de2a2a3fcd4607c7,repo_file_state,projectStateDb (sync-project -> syncVersionControlState),versionControlLedger,Rebuilt from git ls-files + git status on each projectStateDb run
